window,ticker_a,ticker_b,n_days,yrs,ta_yr,ta_total,eta,gamma,drift_gap,zero_cross_yr,dd_a,dd_b,starv_bind,days_below,rebals,has_ung,energy_ag,oil_ag
2012-2019,BNO,CANE,1992,7.901,1.0368,8.5362,0.9146,0.133616,0.07096,4.1768,-80.3,-74.45,1,1,74,0,1,1
2012-2019,BNO,COPX,1992,7.901,1.2346,10.2459,0.9609,0.103164,0.00681,7.341,-80.3,-79.32,1,1,64,0,0,0
2012-2019,BNO,CORN,1992,7.901,1.1888,9.8474,1.0189,0.112659,0.05008,4.6831,-80.3,-72.96,1,1,71,0,1,1
2012-2019,BNO,CPER,1992,7.901,2.2301,19.2668,0.9858,0.185187,0.02292,4.4299,-80.3,-57.83,1,1,67,0,0,0
2012-2019,BNO,DBA,1992,7.901,1.1784,9.7572,1.1201,0.085014,0.01097,2.7845,-80.3,-51.24,1,1,59,0,1,1
2012-2019,BNO,DBB,1992,7.901,0.8808,7.2065,0.9901,0.083835,0.03993,1.3923,-80.3,-48.77,1,1,57,0,0,0
2012-2019,BNO,DBE,1992,7.901,0.1414,1.1233,1.3249,0.008538,0.00013,3.0377,-80.3,-71.67,1,1,8,0,0,0
2012-2019,BNO,PALL,1992,7.901,-2.3928,-17.2253,0.8815,0.116773,0.2025,4.9362,-80.3,-48.4,1,1,66,0,0,0
2012-2019,BNO,PPLT,1992,7.901,1.2267,10.1769,1.0213,0.09653,0.0076,5.0628,-80.3,-57.22,1,1,63,0,0,0
2012-2019,BNO,SIL,1992,7.901,2.2845,19.7809,1.0255,0.179563,0.01326,5.0628,-80.3,-79.85,1,1,112,0,0,0
2012-2019,BNO,SLV,1992,7.901,1.5955,13.4344,1.1158,0.114691,0.00656,4.5565,-80.3,-63.55,1,1,78,0,0,0
2012-2019,BNO,SOYB,1992,7.901,1.0126,8.3293,0.8939,0.105245,0.04076,4.5565,-80.3,-50.26,1,1,61,0,1,1
2012-2019,BNO,UGA,1992,7.901,0.338,2.7066,1.1617,0.025518,0.01815,3.7971,-80.3,-68.54,1,1,19,0,0,0
2012-2019,BNO,UNG,1992,7.901,1.3779,11.501,1.0129,0.216163,0.11942,5.4425,-80.3,-84.78,1,185,125,1,0,0
2012-2019,BNO,URA,1992,7.901,0.4138,3.3234,1.1996,0.110533,0.11406,5.1894,-80.3,-81.43,1,37,81,0,0,0
2012-2019,BNO,USO,1992,7.901,-0.0577,-0.4549,1.6263,0.012612,0.05663,1.1391,-80.3,-81.05,1,6,15,0,0,0
2012-2019,BNO,WEAT,1992,7.901,1.0998,9.0779,1.1261,0.134351,0.09045,2.4048,-80.3,-80.75,1,24,93,0,1,1
2012-2019,BNO,XLE,1992,7.901,-0.0559,-0.4405,1.1766,0.047343,0.08814,0.1266,-80.3,-46.75,1,1,38,0,0,0
2012-2019,BNO,XME,1992,7.901,1.0227,8.4157,0.8582,0.097793,0.01633,1.1391,-80.3,-77.43,1,1,57,0,0,0
2012-2019,CANE,COPX,1992,7.901,1.2403,10.2952,0.9758,0.13464,0.06415,4.9362,-74.45,-79.32,0,0,83,0,0,0
2012-2019,CANE,CORN,1992,7.901,1.1319,9.3551,1.0166,0.092461,0.02088,6.9613,-74.45,-72.96,0,0,61,0,0,0
2012-2019,CANE,CPER,1992,7.901,0.7755,6.3189,0.7438,0.174968,0.09388,1.8985,-74.45,-57.83,0,0,46,0,0,0
2012-2019,CANE,DBA,1992,7.901,-0.0839,-0.6604,0.8089,0.056149,0.08193,7.4676,-74.45,-51.24,0,0,31,0,0,0
2012-2019,CANE,DBB,1992,7.901,-0.4159,-3.2327,0.7722,0.078889,0.11089,1.3923,-74.45,-48.77,0,0,40,0,0,0
2012-2019,CANE,DBE,1992,7.901,0.6925,5.6236,0.9077,0.104448,0.07108,4.4299,-74.45,-71.67,0,0,60,0,1,0
2012-2019,CANE,PALL,1992,7.901,-4.9375,-32.3011,0.9201,0.116746,0.27345,3.9237,-74.45,-48.4,0,0,70,0,0,0
2012-2019,CANE,PPLT,1992,7.901,0.3466,2.7759,0.8515,0.088924,0.07856,12.5304,-74.45,-57.22,0,0,47,0,0,0
2012-2019,CANE,SIL,1992,7.901,1.9092,16.2816,0.9577,0.18671,0.05769,4.0502,-74.45,-79.85,0,0,106,0,0,0
2012-2019,CANE,SLV,1992,7.901,0.7201,5.854,0.8695,0.103542,0.0644,3.6705,-74.45,-63.55,0,0,59,0,0,0
2012-2019,CANE,SOYB,1992,7.901,-0.2192,-1.7168,0.9185,0.084953,0.11171,5.9488,-74.45,-50.26,0,0,48,0,0,0
2012-2019,CANE,UGA,1992,7.901,0.6344,5.1404,0.8295,0.135304,0.08911,5.9488,-74.45,-68.54,0,0,70,0,1,0
2012-2019,CANE,UNG,1992,7.901,2.3817,20.7047,0.9592,0.217881,0.04847,3.5439,-74.45,-84.78,1,184,116,1,1,0
2012-2019,CANE,URA,1992,7.901,1.5077,12.6508,1.0463,0.129251,0.04311,5.3159,-74.45,-81.43,1,37,82,0,0,0
2012-2019,CANE,USO,1992,7.901,1.4462,12.1041,0.842,0.139323,0.01433,3.7971,-74.45,-81.05,1,6,74,0,1,1
2012-2019,CANE,WEAT,1992,7.901,1.2146,10.0719,0.8924,0.112243,0.0195,6.9613,-74.45,-80.75,1,23,67,0,0,0
2012-2019,CANE,XLE,1992,7.901,-1.4732,-10.9877,0.7642,0.091843,0.15909,5.9488,-74.45,-46.75,0,0,45,0,1,0
2012-2019,CANE,XME,1992,7.901,0.5191,4.1868,0.7619,0.132008,0.08729,5.9488,-74.45,-77.43,0,0,65,0,0,0
