pair,year,same_league,gamma_126d,sigma_126d,tc_126,tc_252,tc_504,breath_252,factor_kinship_252,dd_max_756d,ddgamma_ratio,naive_prev_ta_per_yr,target_ta_per_yr,eligible_fwd
BND/DBA,2012,0,0.03415137,0.18480089285498597,7,23.0,15,3.0,-0.30135448139468857,0.17832955513560966,0.9649821079357317,-0.173989,0.250535,True
BND/DBA,2013,0,0.01526659,0.1235580430405079,7,23.0,8,2.0,-0.17496753218702685,0.21134309560270892,1.7104762296487743,0.250535,-0.046713,True
BND/DBA,2014,0,0.00710787,0.08430818465605816,6,2.0,23,19.0,0.08829900130264771,0.3180022215264168,3.7719021329154665,-0.046713,0.267146,True
BND/DBA,2015,0,0.01483654,0.12180533650049985,0,15.0,6,3.0,0.028617606528992586,0.19895965770127044,1.6334231604085259,0.267146,-0.177629,True
BND/DBA,2016,0,0.0171983,0.1311422891366473,2,1.0,15,21.0,-0.09948935802958986,0.3053097562347936,2.3280801200341084,-0.177629,0.0,True
BND/DBA,2017,0,0.01051845,0.10255949492855354,4,16.0,1,8.0,0.03758761867257882,0.32062633606768154,3.1262472215862687,0.0,0.004633,True
BND/DBA,2018,0,0.01124745,0.10605399568144522,0,5.0,16,5.0,-0.013312443798798864,0.24452402585478783,2.305655947082518,0.004633,-0.004364,True
BND/DBB,2012,0,0.10987129,0.33146838461608974,3,19.0,27,5.0,-0.3507876563250164,0.255177866565902,0.7698407402004622,-1.144421,0.773538,True
BND/DBB,2013,0,0.03420144,0.18493631336219504,6,8.0,21,19.0,-0.2074968072113637,0.22586947653812484,1.22133653705837,0.773538,0.083027,True
BND/DBB,2014,0,0.01783695,0.13355504483170974,16,2.0,13,11.0,0.0835066167068034,0.3419303320891618,2.560220263637528,0.083027,0.220517,True
BND/DBB,2015,0,0.02318922,0.1522800709219693,9,10.0,2,13.0,-0.1189413190980724,0.2585002233661956,1.6975315404118454,0.220517,-0.674329,True
BND/DBB,2016,0,0.04518928,0.21257770344041257,1,2.0,10,9.0,-0.09072288915398828,0.4128672271730901,1.9421944093436896,-0.674329,-0.337098,True
BND/DBB,2017,0,0.03129056,0.1768913791002829,1,7.0,4,6.0,-0.19374309648298246,0.18015515346846078,1.0184507260035978,-0.337098,-0.384736,True
BND/DBB,2018,0,0.02442135,0.156273318260028,4,0.0,8,5.0,-0.12139842390309473,0.007362408099699347,0.047112380934081204,-0.384736,-0.03166,True
BND/ECH,2012,0,0.16392524,0.4048768207739238,1,0.0,31,1.0,-0.34345007243740167,0.26149169068478506,0.6458549298646995,-0.038522,0.299249,True
