DESCRIPTIVE CENSUS -- NOT A SELECTION,AMC,ARGT,BABA,BITO,BND,COPX,CPER,DBA,DBB,ECH,EIDO,EMB,EPOL,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,F,FXI,GDX,GLDM,GME,HYG,IEF,INDA,IWM,IYT,KWEB,LQD,MSTR,MTUM,NVDA,PDBC,PLTR,QQQ,QUAL,SCHD,SGOV,SHY,SIL,SLV,SMH,SOXL,SOXS,SPLV,SQQQ,THD,TIP,TLT,TMF,TNA,TQQQ,TSLA,TUR,TZA,UNG,UPRO,URA,USMV,USO,UVXY,VEU,VLUE,VNQ,VNQI,VTI,VYM,XBI,XLE,XLB,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XME,YANG,YINN
AMC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07714146118238041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0188867792545218,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035934462866302,0.0,0.0,0.0001043079169708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BABA,0.0,0.0,1.0,0.0,0.0002998051266676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BITO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND,0.0,0.0,0.0002998051266676,0.0,1.0,0.0005996102533352,0.0,0.0,0.0,0.0010493179433366,0.0,0.012292010193371606,0.0,0.0002998051266676,0.0040084085779888,0.0,0.0005996102533352,0.0,0.0,0.0,0.0,0.0001499025633338,0.0,0.0,0.0,0.0001499025633338,0.0,0.0,0.0016489281966718,0.0,0.0,0.0,0.0004497076900014,0.000749512816669,0.0,0.0,0.0,0.0,0.0,0.2257132820893841,0.0002998051266676,0.0,0.000749512816669,0.0,0.18240705780147254,0.0,0.02098635886673211,0.0002998051266676,0.0,0.0,0.0098935691800308,0.012142107630037804,,0.0,0.3643074319221133,0.0,0.0,0.0034477589566774,0.0034477589566774,0.0034477589566774,,0.0098935691800308,0.0,0.0,0.13341708129642937,0.13341708129642937,0.0,0.0098935691800308,0.0,0.0,0.0,0.0,0.0919466555093999,0.0001499025633338,0.041414460608018,0.0,0.0,0.006322144908509302,0.043171938240135155,0.0014990256333380003,0.0005048281917624,0.08979821495400249,0.07908505430455352,0.004946784590015402,0.0026982461400084003,0.0005996102533352,0.03117973317343072,0.005546394843350802,0.011542497376702605,0.004347174336680201,0.0013491230700042002,0.0050966871533492004,0.015290061460047608,0.006895517913354801,0.0001499025633338,0.0,0.0
COPX,0.0,0.0,0.0,0.0,0.0005996102533352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412755087856152,0.0535589148062869,0.022859661111442397,0.0205371876745604,0.0,0.0,0.0,0.0021428018735659,0.0,0.0,0.0,0.0,0.0,0.0013528817698101,0.0,0.0,0.0269862965583637,0.0,0.0,0.0,0.0,0.0,0.0202147009327549,0.0,0.0,0.0,0.0,0.0,0.0,0.000356474261866,0.0,0.0,0.0009522645702362,0.0,0.0037910883498555,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.000356474261866,0.0,0.0,0.0,0.000356474261866,0.0,0.0013735779239934,0.0316904928521443,0.0,0.0,0.0,0.011682486700738699,0.0,0.0,0.0,0.0012277470841006,0.00070365902694,0.0,0.0,0.0474521974171588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049442471368791596,0.0202147009327549,0.0202147009327549
CPER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBB,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECH,0.0,0.07714146118238041,0.0,0.0,0.0010493179433366,0.0,0.0,0.0,0.0,1.0,0.0,0.009894714321092698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019800416695635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013560029206206997,0.0,0.0,0.0060481804202972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
